,Date,Title,URLs,Views
VM644:1 ,30/01/2024,ESSEX COUNTY CUP DEFEAT! LONDON LEGACY VS MANSFIELD RANGERS - SUNDAY LEAGUE 23/24: EP 12,https://www.youtube.com/watch?v=DY-erUM-Mf0,282 views
VM644:1 ,30/01/2024,PENALTY SHOOTOUT DRAMA!! LONDON LEGACY VS ZONE 4 ATHLETIC - SUNDAY LEAGUE 23/24: EP11,https://www.youtube.com/watch?v=LOSob7tA5to,329 views
VM644:1 ,30/01/2024,THE BEST EVER SUNDAY LEAGUE COMEBACK!! LONDON LEGACY VS MAYFIELD KINGS - SUNDAY LEAGUE 23/24: EP10,https://www.youtube.com/watch?v=BtvccNwvIhE,361 views
VM644:1 ,30/01/2024,SUNDAY LEAGUE IN THE RAIN ☔️ LONDON LEGACY VS WOODFORD TOWN RESERVES - SUNDAY LEAGUE 23/24: EP 9,https://www.youtube.com/watch?v=XwZDHBvaMVo,775 views
VM644:1 ,30/01/2024,A PAINFUL AWAY DAY! LONDON LEGACY VS CHINGFORD ATHLETIC - SUNDAY LEAGUE 23/24: EP 8,https://www.youtube.com/watch?v=3P5ek4RW5O4,374 views
VM644:1 ,30/01/2024,GOALS GALORE! LONDON LEGACY VS BARKING COLTS: ENDEAVOUR CUP ROUND 1 - SUNDAY LEAGUE 23/24: EP7,https://www.youtube.com/watch?v=c2at22up7ws,376 views
VM644:1 ,30/01/2024,REF HAD NO CHOICE!! LONDON LEGACY VS VALENCE RESERVES - SUNDAY LEAGUE 23/24: EP6,https://www.youtube.com/watch?v=jzJcGJXqv60,425 views
VM644:1 ,30/01/2024,5 STAR ⭐️ PERFORMANCE!! LONDON LEGACY VS BARKING COLTS: SUNDAY LEAGUE 23/24 - EP5,https://www.youtube.com/watch?v=0K1f4ixs6-w,326 views
VM644:1 ,30/01/2024,"NEW SEASON, NEW OPPONENTS!! LONDON LEGACY VS BRYMANS PARK: SUNDAY LEAGUE 23/24 - EP 4",https://www.youtube.com/watch?v=bNYlSRFcw9c,374 views
VM644:1 ,30/01/2024,INJURY CRISIS?? LONDON LEGACY VS CHINGFORD ATHLETIC: SUNDAY LEAGUE 23/24 - EP3,https://www.youtube.com/watch?v=weZX2lO6P2I,342 views
VM644:1 ,30/01/2024,IT’S DERBY DAY! EPPING ROYALS VS LONDON LEGACY: SUNDAY LEAGUE 23/24 - EP2,https://www.youtube.com/watch?v=SSUITfZho58,454 views
VM644:1 ,30/01/2024,A CRACKING SEASON OPENER! LONDON LEGACY VS MAYFIELD KINGS: SUNDAY LEAGUE 23/24 - EP1,https://www.youtube.com/watch?v=13Hyae09BDg,665 views
VM644:1 ,30/01/2024,PRE SEASON EP 3: LONDON LEGACY VS CITY EAST FC - TOUGHEST GAME OF PRE SEASON!,https://www.youtube.com/watch?v=tkcjsdUmQiU,317 views
VM644:1 ,30/01/2024,PRE SEASON EP 2: LONDON LEGACY VS PTA XI,https://www.youtube.com/watch?v=EH4xKJEpkiI,307 views
VM644:1 ,30/01/2024,PRE SEASON EP 1: LONDON LEGACY VS WENLOCK FC,https://www.youtube.com/watch?v=IBflicKVRbE,399 views
VM644:1 ,30/01/2024,SUNDAY LEAGUE EPISODE 10: LONDON LEGACY V WARREN UNITED,https://www.youtube.com/watch?v=vj7iQdi_ZRw&t=39s,"1,421 views"
VM644:1 ,30/01/2024,SUNDAY LEAGUE EPISODE 9: LONDON LEGACY V RIDGEWAY ROVERS - CUP QUARTER FINAL,https://www.youtube.com/watch?v=KakIB2CnKtI,611 views
VM644:1 ,30/01/2024,SUNDAY LEAGUE EPISODE 8: LONDON LEGACY V EPPING FOREST FALCONS,https://www.youtube.com/watch?v=wstjxQvPRtw,418 views
VM644:1 ,30/01/2024,SUNDAY LEAGUE EPISODE 7: LONDON LEGACY VS RIDGEWAY ROVERS,https://www.youtube.com/watch?v=7P4iq_TO3ZY,293 views
VM644:1 ,30/01/2024,SUNDAY LEAGUE EPISODE 6: LONDON LEGACY VS PING CITY PHOENIXES,https://www.youtube.com/watch?v=jz1-HT_dmEo,273 views
VM644:1 ,30/01/2024,SUNDAY LEAGUE EPISODE 5: LONDON LEGACY VS ZONE 4 ATHLETIC,https://www.youtube.com/watch?v=isldLAIWDL0,499 views
VM644:1 ,30/01/2024,PRO ANALYSIS OF A RED CARD BY T 🟥,https://www.youtube.com/watch?v=Z740QTAFbX0,201 views
VM644:1 ,30/01/2024,SUNDAY LEAGUE EPISODE 4: LONDON LEGACY VS WARREN UNITED,https://www.youtube.com/watch?v=Pn9O0w2TtWw,439 views
VM644:1 ,30/01/2024,SUNDAY LEAGUE EPISODE 3: LONDON LEGACY VS HAVERING PALACE,https://www.youtube.com/watch?v=3OqmVz8f3n0,592 views
VM644:1 ,30/01/2024,SUNDAY LEAGUE EPISODE 2: LONDON LEGACY V ROYAL LIONS C,https://www.youtube.com/watch?v=xGAN0Nu6jhE,384 views
VM644:1 ,30/01/2024,SUNDAY LEAGUE EPISODE 1: LONDON LEGACY VS ZONE 4 ATHLETIC,https://www.youtube.com/watch?v=tWv-eHcLP7o,415 views
,,,,
VM1379:1 ,30/01/2024,Premier Football UK Showcase ||  Premier League to Non-League Scouts ⚽ #footballtrials #talentid,https://www.youtube.com/watch?v=mWUfRGy2DOk,218 views
VM1379:1 ,30/01/2024,Premier Football Showcase: Full Match |  Premier League to Non-League Scouts | #footballtrials #epl,https://www.youtube.com/watch?v=kdyy2Uzf7RI&t=9s,98 views
VM1379:1 ,30/01/2024,Premier Football UK vs. Rotherham United FC | Match | November 2023 ⚽ #FootballTrials #SoccerTrials,https://www.youtube.com/watch?v=GKTjtOoiqC4,163 views
VM1379:1 ,30/01/2024,Football Players and Parents Experience: Football Trials in England | #FootballTrials #soccertrials,https://www.youtube.com/watch?v=0Z3iNDMJveo&t=41s,357 views
VM1379:1 ,30/01/2024,Women's Professional Soccer Trials in England | #womenssoccer #womensfootball #professionalfootball,https://www.youtube.com/watch?v=71hmkCmkfoQ&t=12s,148 views
VM1379:1 ,30/01/2024,"Your Soccer Journey, Our Premium Accommodation! ⚽🏠 | #SoccerAccommodation #PremierFootballUK",https://www.youtube.com/watch?v=M2fBqrQ8gW4,157 views
VM1379:1 ,30/01/2024,Football trials and opportunities in Thai football | #thaifootball #bangkok #opportunities,https://www.youtube.com/watch?v=iJSKLkiQAh4,39 views
VM1379:1 ,30/01/2024,Premier Football UK | Players & Parents | #footballtrials #soccertrials #opportunities,https://www.youtube.com/watch?v=AiJkWXNCgno,184 views
VM1379:1 ,30/01/2024,Premier Football Women V Manchester United Women | Pro Match | #footballtrials #wsl #womensfootball,https://www.youtube.com/watch?v=Mvy83jbMtMo,120 views
VM1379:1 ,30/01/2024,Premier Football UK v Mansfield Town | August 2023 #PremierFootballUK #footballtrials #soccertrials,https://www.youtube.com/watch?v=AuZSl0oXtlI,182 views
VM1379:1 ,30/01/2024,PFUK V  Lincoln City FC  | #WomensFootball #PremierFootballUK #soccertrials,https://www.youtube.com/watch?v=x4OVzujFU_s,22 views
VM1379:1 ,30/01/2024,Premier Football UK V Fleetwood Town FC 📅 Aug 2023 ➡️ Professional Football Trials #footballtrials,https://www.youtube.com/watch?v=7pbZEodsRrA,164 views
VM1379:1 ,30/01/2024,Premier Football UK in Asia.,https://www.youtube.com/watch?v=9UkpuOJR_6o,134 views
VM1379:1 ,30/01/2024,We Get Players Signed | From the Australasian Soccer Academy to Professional Football,https://www.youtube.com/watch?v=u3VaFDde1Yo,192 views
VM1379:1 ,30/01/2024,Premier Football UK | Women's Professional Football Trials,https://www.youtube.com/watch?v=EfqHz6hFcu0,935 views
VM1379:1 ,30/01/2024,SCOUTED BY A PROFESSIONAL LEAGUE ONE FOOTBALL CLUB,https://www.youtube.com/watch?v=N0v5V1NJ0tI,808 views
VM1379:1 ,30/01/2024,Premier Football in Asia [Facilities and Training Shown],https://www.youtube.com/watch?v=4d1lCa5y5wQ,"1,100 views"
VM1379:1 ,30/01/2024,FULL MATCH | Burton Albion V Premier Football UK | April 2022,https://www.youtube.com/watch?v=Ej1FHgpPCQc,453 views
VM1379:1 ,30/01/2024,FULL MATCH | Premier Football UK V Salford City | April 22,https://www.youtube.com/watch?v=23U3oGZxZHw,273 views
VM1379:1 ,30/01/2024,TALENT ID | HOW TO GET SCOUTED: A SCOUTS OPINION,https://www.youtube.com/watch?v=ppgNrGEqd8Q,598 views
VM1379:1 ,30/01/2024,"Scout & Data Analysis Day [Overview of Training, Strength and Conditioning, and Scout's Insight]",https://www.youtube.com/watch?v=UiZONYj3hLY,"1,360 views"
VM1379:1 ,30/01/2024,Talent ID: Manchester ~ | Premier Football UK | #footballtrials #Manchester #PremierFootballUK,https://www.youtube.com/watch?v=h0kqF4IvQCU,"3,551 views"
VM1379:1 ,30/01/2024,Talent ID: Manchester 10 Day Trials | Accommodation | #footballtryouts #opportunity #footballtrials,https://www.youtube.com/watch?v=_3cDOrvNwsE,"1,511 views"
VM1379:1 ,30/01/2024,"A League Football Trial 2019 | Melbourne, Australia  | Kazuya Kubo, 13",https://www.youtube.com/watch?v=Py4nAxI360Y,631 views
VM1379:1 ,30/01/2024,Manchester Showcase 2019 Football Tricks & Talent - Breki Jallow | Highlights | 2019/20,https://www.youtube.com/watch?v=swV59HJYF1E,593 views
VM1379:1 ,30/01/2024,Premier Football UK 2019,https://www.youtube.com/watch?v=bKIBAo_jO9E,"2,990 views"
VM1379:1 ,30/01/2024,Premier Football UK | Showcase Match v Chesterfield FC 2019 | Real Clubs. Real Opportunities.,https://www.youtube.com/watch?v=8-7lTueeFPw,400 views
VM1379:1 ,30/01/2024,Premier Football UK | Showcase Match v Fleetwood Town FC | Real Clubs. Real Opportunities.,https://www.youtube.com/watch?v=D4w5DEldYm4,402 views
VM1379:1 ,30/01/2024,Premier Football UK | Showcase Match v Burnley FC 2019 | Real Clubs. Real Opportunities.,https://www.youtube.com/watch?v=GNsABSNkNQQ,387 views
VM1379:1 ,30/01/2024,Premier Football UK | Showcase Match v Oldham Athletic FC 2019 | Real Clubs. Real Opportunities.,https://www.youtube.com/watch?v=iUEZsaA1E4Y,"2,295 views"
VM1379:1 ,30/01/2024,PFUK v4,https://www.youtube.com/watch?v=ONT20gXkgE0,"2,172 views"
VM1379:1 ,30/01/2024,CD Leganes & PFUK India Partnership,https://www.youtube.com/watch?v=hEnHNODwAuk,213 views
VM1379:1 ,30/01/2024,CD Leganes & PFUK Recruitment Partnership,https://www.youtube.com/watch?v=WfnVzY-NHFc,"2,660 views"
VM1379:1 ,30/01/2024,Trial Match V Burnley :  Premier Football UK | August 18  | Gawthorpe Hall - Burnley Training Ground,https://www.youtube.com/watch?v=5G8gYLcad2M,969 views
VM1379:1 ,30/01/2024,Football Trials In Europe - Trial Information - Premier Football UK. Sign up today,https://www.youtube.com/watch?v=Lcy8kX_NK-4,"65,714 views"
VM1379:1 ,30/01/2024,How to get a European Football Trial - Premier Football UK - Football Trials in Europe,https://www.youtube.com/watch?v=fFc3nDC0t7Y,"2,151 views"
VM1379:1 ,30/01/2024,AFS - Football Trials In Asia - Premier Football UK. Sign up today,https://www.youtube.com/watch?v=xwItcEWOZu8,933 views
VM1379:1 ,30/01/2024,AFS - Football Trials In Asia - Premier Football UK. Sign up today,https://www.youtube.com/watch?v=Zg85go2u6ek,"1,488 views"
VM1379:1 ,30/01/2024,AFS - Football Trials In Asia - Premier Football UK. Sign up today,https://www.youtube.com/watch?v=8TTt8-EDBDI,"1,578 views"
VM1379:1 ,30/01/2024,"Andrew Nkpolukwu, 20, Football Trials In Europe - Premier Football UK. Sign up today",https://www.youtube.com/watch?v=klWfQnw5-Fs,"2,325 views"
VM1379:1 ,30/01/2024,Joey Shinnichiro Age:17 Club: Trial at CF Granada Japanese Position: Midfielder,https://www.youtube.com/watch?v=TUuFlneKLeg,"1,007 views"
VM1379:1 ,30/01/2024,"Wolfy Trevil, 19, Trial at CF Granada",https://www.youtube.com/watch?v=cLHe01lXYO0,"1,147 views"
VM1379:1 ,30/01/2024,"Vignesh Naicker, 20 Signed: CF Trival Valderas, Spain",https://www.youtube.com/watch?v=gS6POpuiBBk,"1,829 views"
VM1379:1 ,30/01/2024,"Riky Hisamatsu, Almere City Football Trials In Europe  - Premier Football UK. Sign up today",https://www.youtube.com/watch?v=YNtSHiSIlzc,"4,547 views"
VM1379:1 ,30/01/2024,"Michael Singgih, 17, Indonesia",https://www.youtube.com/watch?v=gVvrtnQW2YU,940 views
,,,,
,,,,
VM607:1 ,30/01/2024,Utah Presidents Cup 2024 - Quarterfinal,https://www.youtube.com/watch?v=fH2l8hotLaQ,468 views
VM607:1 ,30/01/2024,Utah Presidents Cup 2024 - Match 3,https://www.youtube.com/watch?v=JGBQuxk4lhg,736 views
VM607:1 ,30/01/2024,Utah Presidents Cup 2024 - Match 2,https://www.youtube.com/watch?v=mUTryPhnVbA,535 views
VM607:1 ,30/01/2024,Utah Presidents Cup 2024 Match 1,https://www.youtube.com/watch?v=ODMl05E3m4E,634 views
VM607:1 ,30/01/2024,Goal of the tournament.,https://www.youtube.com/watch?v=uEhYKe6rdGo,808 views
VM607:1 ,30/01/2024,Awesome Goal scoring by the book.,https://www.youtube.com/watch?v=hatqqxMN1E8,"1,624 views"
VM607:1 ,30/01/2024,Nomads Thanksgiving Soccer Tournament-U18 Game 3,https://www.youtube.com/watch?v=LCX-pfH3Zgs,"2,123 views"
VM607:1 ,30/01/2024,Nomads Thanksgiving Soccer Tournament-U18 Game 2,https://www.youtube.com/watch?v=PLeCLqC3DnQ,"1,055 views"
VM607:1 ,30/01/2024,Nomads Thanksgiving Soccer Tournament-U18 Game 1,https://www.youtube.com/watch?v=Wr2YHmAfdS8,"1,327 views"
VM607:1 ,30/01/2024,La Roca AV vs Avalanche DW - U18 Soccer,https://www.youtube.com/watch?v=uByYfuEasgk,"1,479 views"
VM607:1 ,30/01/2024,La Roca AV vs Wasatch CT - U18 Soccer,https://www.youtube.com/watch?v=icj1hrk_yls,"1,823 views"
VM607:1 ,30/01/2024,NUU Futures vs La Roca AV - U18 Soccer,https://www.youtube.com/watch?v=0OFkIkfLn2g,"1,386 views"
VM607:1 ,30/01/2024,La Roca LO vs LA Roca AV - U18 Soccer,https://www.youtube.com/watch?v=lpdPnN5qtkU,"1,322 views"
VM607:1 ,30/01/2024,La Roca AV vs Utah Surf Davis KH - U18 Soccer,https://www.youtube.com/watch?v=wdJQwWfYvao,"1,030 views"
VM607:1 ,30/01/2024,Metasport BD vs La Roca AV - U18 Soccer,https://www.youtube.com/watch?v=qMhoJu66V_Y,"1,083 views"
VM607:1 ,30/01/2024,La Roca AB vs La Roca AV - U18 Soccer,https://www.youtube.com/watch?v=6pzWiQbAAOE,"1,072 views"
VM607:1 ,30/01/2024,Utah Mayor's Cup 2023 - U18 Silver - Game 3,https://www.youtube.com/watch?v=HS9u8C4kCIw,"1,392 views"
VM607:1 ,30/01/2024,Utah Mayor's Cup 2023 - U18 Silver - Game 2,https://www.youtube.com/watch?v=91FvIhNarf8,937 views
VM607:1 ,30/01/2024,Utah Mayor's Cup 2023 - U18 Silver - Game 1,https://www.youtube.com/watch?v=5-A8yi66ODo,951 views
VM607:1 ,30/01/2024,Copper Mountain RL vs La Roca AV - U18 Soccer,https://www.youtube.com/watch?v=u33XzFQJHvI,"1,849 views"
VM607:1 ,30/01/2024,USA Adidas Cup 2023 - U18/19 Semi Final,https://www.youtube.com/watch?v=nWd7LzWAJg4,"2,323 views"
VM607:1 ,30/01/2024,USA Adidas Cup 2023 - U18/19 Match 3,https://www.youtube.com/watch?v=bdLy1uaywpQ,"1,165 views"
VM607:1 ,30/01/2024,USA Adidas Cup 2023 - U18/19 Match 2,https://www.youtube.com/watch?v=WCFnD4Wfxaw,855 views
VM607:1 ,30/01/2024,USA Adidas Cup 2023 - U18/19 Match 1,https://www.youtube.com/watch?v=WZA1eQVjlJM,"1,414 views"
VM607:1 ,30/01/2024,Park City Extreme Cup 2023- U18 Awards Ceremony,https://www.youtube.com/watch?v=2c12C-Td8-U,798 views
VM607:1 ,30/01/2024,Park City Extreme Cup 2023 - U18 Gold Championship,https://www.youtube.com/watch?v=dVmzILlwehY,"1,399 views"
VM607:1 ,30/01/2024,Park City Extreme Cup 2023 - U18 Gold - Semi Final,https://www.youtube.com/watch?v=NP8zYLfCvNs,"1,454 views"
VM607:1 ,30/01/2024,Park City Extreme Cup 2023 - U18 Gold - Match 3,https://www.youtube.com/watch?v=78hIKQd-UFs,"1,047 views"
VM607:1 ,30/01/2024,Park City Extreme Cup 2023- U18 Gold- Match 2,https://www.youtube.com/watch?v=XUDwglMX5ak,"1,240 views"
VM607:1 ,30/01/2024,Park City Extreme Cup 2023 - U18 Gold - Match 1,https://www.youtube.com/watch?v=lhloS_FbbQQ,"1,288 views"
VM607:1 ,30/01/2024,La Roca Cup U18/19 Semi Final Match,https://www.youtube.com/watch?v=0_dJ3BmamGA,"1,295 views"
VM607:1 ,30/01/2024,La Roca Cup U18/19 Tournament Soccer - Match 2,https://www.youtube.com/watch?v=U1eCzXG9hig,"1,006 views"
VM607:1 ,30/01/2024,La Roca Cup U18/19 tournament Soccer. Match 1,https://www.youtube.com/watch?v=iA21RKsn0Dc,"1,160 views"
VM607:1 ,30/01/2024,Wasatch CT vs La Roca JH - High School Provisional Soccer,https://www.youtube.com/watch?v=55KbsUNxnys,"2,886 views"
VM607:1 ,30/01/2024,La Roca JH vs Rampage BK - High School Provisional Soccer,https://www.youtube.com/watch?v=VeU7sGEeu9g,"2,670 views"
VM607:1 ,30/01/2024,La Roca JH vs Summit Jl - High School Provisional Soccer,https://www.youtube.com/watch?v=5OH29_G1K5s,"1,800 views"
VM607:1 ,30/01/2024,Gremio FC Utah vs La Roca JH - High School Provisional,https://www.youtube.com/watch?v=Wgaeq_Nil4c,"2,006 views"
VM607:1 ,30/01/2024,Metasport FC vs LA Roca AV - U16/17 Indoor Soccer,https://www.youtube.com/watch?v=VtcvEvKclKk,"3,840 views"
VM607:1 ,30/01/2024,Utah Presidents Cup U17 Quarter Finals-7 Elite vs La Roca,https://www.youtube.com/watch?v=YfPV6Zqwrks,"1,513 views"
VM607:1 ,30/01/2024,Utah Presidents Cup U17- Copper Mtn vs La Roca,https://www.youtube.com/watch?v=yu8ScaHgDFc,"3,307 views"
VM607:1 ,30/01/2024,Utah Presidents Cup U17-La Roca Fc vs Salt Lake FC,https://www.youtube.com/watch?v=hnmrT-BZt4M,"3,187 views"
VM607:1 ,30/01/2024,Utah Presidents Cup - La Roca FC vs Murray SC - U17,https://www.youtube.com/watch?v=sbHLcoLLG7Q,"2,182 views"
VM607:1 ,30/01/2024,La Roca AV vs Summit FC - U17/19 Indoor Soccer,https://www.youtube.com/watch?v=JXOPbrnJ1wI,"1,449 views"
VM607:1 ,30/01/2024,La Roca AV vs SWAT DR - U17/18 Indoor Soccer,https://www.youtube.com/watch?v=6jBlmzVIvJk,"3,425 views"
VM607:1 ,30/01/2024,La Roca TJ vs La Roca AV - U16/17 Indoor Soccer,https://www.youtube.com/watch?v=M5rGpohct-s,"1,834 views"
VM607:1 ,30/01/2024,La Roca AV vs SWAT RM - U17 Indoor Soccer,https://www.youtube.com/watch?v=Zfa1OFbqpj0,"2,676 views"
VM607:1 ,30/01/2024,La Roca AV vs Strikers - U17 Indoor Soccer,https://www.youtube.com/watch?v=NE-p8Smc8Rc,"3,278 views"
VM607:1 ,30/01/2024,La Roca AV vs La Roca JH - U16/17 Indoor Soccer,https://www.youtube.com/watch?v=G2tdkTFtrXM,"3,074 views"
VM607:1 ,30/01/2024,La Roca AV vs La Roca JH - U17/19 indoor soccer,https://www.youtube.com/watch?v=RuOuAKncFzQ,"2,292 views"
VM607:1 ,30/01/2024,SWAT/Leon vs La Roca AV  - U16/17 Indoor Soccer,https://www.youtube.com/watch?v=vqGCn-McGuw,"3,179 views"
VM607:1 ,30/01/2024,Wasatch CT vs La Roca AV - U17 Soccer,https://www.youtube.com/watch?v=OtQ9iqGuPzY,"3,588 views"
VM607:1 ,30/01/2024,La Roca AV vs Blitzz FC - U17 Soccer,https://www.youtube.com/watch?v=b8Jn31ZvGZ0,"3,412 views"
VM607:1 ,30/01/2024,La Roca AV vs LA Roca RC - U17 Soccer,https://www.youtube.com/watch?v=EG369uOl26s,"4,666 views"
VM607:1 ,30/01/2024,La Roca AV vs Xolos FC Utah - U17 Soccer,https://www.youtube.com/watch?v=yRi1oZpocP0,"3,956 views"
VM607:1 ,30/01/2024,SCSL Riverhawks vs La Roca AV- U17 Soccer,https://www.youtube.com/watch?v=Hdne8h68BQ8,"3,993 views"
VM607:1 ,30/01/2024,Strikers JH vs La Roca AV - U17 Soccer,https://www.youtube.com/watch?v=Kr6gkIDFRmM,"2,689 views"
VM607:1 ,30/01/2024,Comba FC vs La Roca AV-Mayors Cup U17,https://www.youtube.com/watch?v=rEgFv6Zb8fc,"3,362 views"
VM607:1 ,30/01/2024,La Roca AV vs Copper Mtn - Mayor's Cup U17,https://www.youtube.com/watch?v=F5wNZ4Af4rg,"2,323 views"
VM607:1 ,30/01/2024,La Roca AV vs Utah Storm - U17 D2 Soccer,https://www.youtube.com/watch?v=WO90DcRpEas,"3,490 views"
VM607:1 ,30/01/2024,HV United vs La Roca AV - U17 D2 Soccer,https://www.youtube.com/watch?v=JFM__OjaNPc,"2,418 views"
VM607:1 ,30/01/2024,Park City Extreme Cup - U17 Medal Presentation,https://www.youtube.com/watch?v=5wOSGTMN4tY,"1,072 views"
VM607:1 ,30/01/2024,Park City Extreme Cup - U17 championship Match,https://www.youtube.com/watch?v=yMEfL9Aj1jc,"3,553 views"
VM607:1 ,30/01/2024,Park City Extreme Cup- U17 Semi Final Match,https://www.youtube.com/watch?v=Wa3I9O5agiA,"2,271 views"
VM607:1 ,30/01/2024,Park City Extreme Cup - U17  Soccer Match 2,https://www.youtube.com/watch?v=8Lv7SZj3OBo,"2,138 views"
VM607:1 ,30/01/2024,Park City Extreme Cup - U17 soccer Match 1,https://www.youtube.com/watch?v=yNRBGWGfvwQ,"2,321 views"
VM607:1 ,30/01/2024,La Roca Cup U17 Championship Match,https://www.youtube.com/watch?v=abNspEnWNRI,"6,611 views"
VM607:1 ,30/01/2024,La Roca AV vs La Roca AF - U17 tournament Soccer,https://www.youtube.com/watch?v=-omv1wwyu4k,"2,056 views"
VM607:1 ,30/01/2024,La roca AV vs TC United - U17 Tournament Soccer,https://www.youtube.com/watch?v=Jei2aJ7xSRc,"3,012 views"
VM607:1 ,30/01/2024,La Roca CB vs La Roca AV-U17 Tournament Soccer,https://www.youtube.com/watch?v=tvKIe09ymvA,"2,256 views"
VM607:1 ,30/01/2024,Gremio FC vs La Roca AV - U17 Scrimmage,https://www.youtube.com/watch?v=JKj00fFzO2M,"1,975 views"
VM607:1 ,30/01/2024,Utah Surf TH vs La Roca JH - U16 HSP Soccer,https://www.youtube.com/watch?v=I8FF5jp92Tg,"6,676 views"
VM607:1 ,30/01/2024,Metasport FC vs La Roca JH - U16 HSP Soccer,https://www.youtube.com/watch?v=Ed7jDDFphYo,"4,511 views"
VM607:1 ,30/01/2024,La Roca JH vs Wasatch KH - U16 HSP Soccer,https://www.youtube.com/watch?v=P5CkSHR7O48,"4,381 views"
VM607:1 ,30/01/2024,Wasatch KH vs La Roca JH - U16 HSP soccer,https://www.youtube.com/watch?v=2593nF-fveY,"6,158 views"
VM607:1 ,30/01/2024,La Roca JH vs L30 Nitro - U16 HSP soccer,https://www.youtube.com/watch?v=n6zNktzNPLQ,"2,964 views"
VM607:1 ,30/01/2024,Utah President's Cup tournament - U16 Match 3,https://www.youtube.com/watch?v=IW6zZNGTbl0,"4,779 views"
VM607:1 ,30/01/2024,Utah President's Cup tournament - U16 Match 2,https://www.youtube.com/watch?v=I_mOBnqdJws,"2,734 views"
